user,rating,review,date,sentiment
Abshir Mustaf,5,i wanna comment photo right onow,8/6/2025 15:22,Positive
Reem Wanous,5,good,8/6/2025 15:21,Positive
Keneni Chali,4,increase my account followers,8/6/2025 15:21,Neutral
Md Mobin,2,unban tiktok account,8/6/2025 15:20,Neutral
FAYEK Ahmed,5,"I like it,👍",8/6/2025 15:19,Neutral
Abdul Ghafoor Dal,5,Good,8/6/2025 15:18,Positive
Riazul Islam Rahat,2,problem ads issue and account login Issu,8/6/2025 15:18,Neutral
kashan Arshad,5,very good,8/6/2025 15:16,Positive
Hjsn Ndnnd,5,This number one tik tok apps,8/6/2025 15:16,Neutral
Adinaan Abdulaziiz,5,don't work,8/6/2025 15:13,Neutral
MD UDAY,5,সাপোর্ট করলে সাপোর্ট পাবেন ১০০%,8/6/2025 15:13,Neutral
md Hamim,5,niloe,8/6/2025 15:11,Neutral
Daniella Meriz,2,Its so nice,8/6/2025 15:11,Positive
Rab Ranaveera,5,tik tok,8/6/2025 15:10,Neutral
Mdasadul Asad,5,good,8/6/2025 15:09,Positive
IcedEvolution,1,"the violations system is nothing short of an absolute incredulous joke. incompetence at its sheer finest. done with the app when people can get away with being racist and everything in-between, report and apparently it's fine. but if say something as trivial as that's silly or anything so base like that will get violations and threatened with suspensions and banned. awful company, awful app",8/6/2025 15:09,Negative
Aɾ Rαზზι,4,it's not good but not bad,8/6/2025 15:06,Negative
Ben Nouri,4,I am tired of the many ads in this application. Please stop this as soon as possible. Thank you.,8/6/2025 15:05,Positive
Nara,1,bought and paid for by the United States of America,8/6/2025 15:04,Neutral
Jay S,1,Brain dead content machine for small minded people.,8/6/2025 15:03,Negative
Nadir Khan,5,good,8/6/2025 15:03,Positive
Summer Brettell,3,it's good but I can't follow people for some reason I've been trying for a while now it just takes it off my following list,8/6/2025 15:02,Positive
Parvaizgopangbloch1,5,parveaizgopangbloch1. so nice TikTok app beautiful ❤️😍 app,8/6/2025 15:02,Positive
abubker Sadeq,5,best apps,8/6/2025 15:01,Positive
Agisanang Mogotsi,2,🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴🥴,8/6/2025 15:01,Neutral
Retag Mohamed,5,It's so amazing and I love the application,8/6/2025 15:00,Positive
Keyro Wahlen,1,"can't repost, send messages, follow people and I'm not even banned or anything??",8/6/2025 15:00,Neutral
Farman Ali,5,Good App,8/6/2025 14:58,Positive
Hassnain Naeem,5,bhot hi achi he,8/6/2025 14:58,Neutral
Thomas Perkins,1,are they still spying on our phones??? 😡 I don't understand why some people have to always spy on other people. Is Tictoc going to pay our bills or give us money for our private information? I refuse to help the Chinese government spy on my phone! They need to mind their own business and take care of their people instead of killing them when they speak out against the government! Please don't get me started 🤨,8/6/2025 14:58,Positive
Kig is Bek Kig is Bek,5,🥰🥰,8/6/2025 14:57,Neutral
Mahbubur Rahman,5,hissss,8/6/2025 14:57,Neutral
MightyDM,1,I enjoy my attention span.,8/6/2025 14:56,Positive
Abdisalan Mohamed,5,this app is good,8/6/2025 14:56,Positive
Shair ali Khan,5,"My TikTok account is not going viral, I just pray that it goes viral soon shair.ali.khan.35",8/6/2025 14:53,Neutral
Mary Solomon,5,I feel like having fun 😊😊😊 with my love 💕💕💕💕 ones Thanks 👍 👍 👍,8/6/2025 14:53,Positive
Qaisar Abbas,1,tiktok foryou setting and foryou trick how to viral video on tiktok foryou setting new plz unfreeze my account,8/6/2025 14:49,Positive
Muhamed Zubair mughal,5,bjsjsh smssoss dd s ksbjd ssbskndks skndkdowpye d sksbu shosishsj sskssoshوعليكم السلام ورحمة الله وبركاته الله حافظوعليكم السلام ورحمة الله وبركاتهاللہ نگہبانالسلام عليكم ورحمة الله وبركاتهالله حافظوعليكم السلام ورحمة الله وبركاتهمحمد صلى الله عليه واله وسلموعليكم السلام ورحمة الله وبركاتهاللٰہُ اکبروعليكم السلام ورحمة الله وبركاتهاللٰہُ اکبراللہ نگہبانوعليكم السلام ورحمة الله وبركاتهالله حافظمحمد صلى الله عليه واله وسلمالسلام عليكم ورحمة الله وبركاته,8/6/2025 14:48,Neutral
Martin Facciuto,2,No abre.. Denegas acceso a los contactos y ls app se bloquea,8/6/2025 14:48,Neutral
Abubakkar Khan,5,good,8/6/2025 14:48,Positive
Tik,5,I love this app,8/6/2025 14:48,Positive
Raphael Sibanda,5,It s seem so smartphone incredible,8/6/2025 14:46,Positive
Ls Shiqder,5,good,8/6/2025 14:43,Positive
Md Akash,3,not good,8/6/2025 14:41,Negative
Arslan Akhtar,5,Greatest,8/6/2025 14:39,Positive
Kholoud Sheer,5,Myy faaavv app,8/6/2025 14:38,Neutral
Kaman Ninja,1,I don't like my all accounts banned 🚫🥺,8/6/2025 14:35,Neutral
Ro aa,4,In the beginning it was so good but now it doesn't even open when i try it take me back to my homescreen and it doesn't work until i uninstall it and install it again..... 😭,8/6/2025 14:35,Positive
Emeka david,5,very nice,8/6/2025 14:34,Positive
Saim Khan,5,Bialal,8/6/2025 14:33,Neutral
Shahzad Hussain,4,faryou,8/6/2025 14:33,Neutral
Big Mac,1,so laggy on chrome,8/6/2025 14:32,Neutral
Sameer Khan,5,It's good app,8/6/2025 14:27,Positive
Dennis Letageng,5,the app is great,8/6/2025 14:27,Positive
selina amati-doe,3,its nice very nice,8/6/2025 14:26,Positive
Patrik,1,Charli Damelio Died :),8/6/2025 14:25,Positive
Gløck,2,"this app has changed, now they ban you for literally saying anything",8/6/2025 14:25,Neutral
Raj kumar Adhikari,5,it's very poor tik tok is not scrolling not very poor tik tok of Nepal it's a human minds diberd of human,8/6/2025 14:25,Negative
Molly Smart,5,very good so far,8/6/2025 14:25,Positive
Ayabonga Njaze,5,Normal,8/6/2025 14:22,Positive
Ali Don,1,Hi Boos,8/6/2025 14:22,Neutral
Pro Gamer,5,Hi dear TikTok I'm a new using on TikTok application please Cheak my new official Account. And viral all Video on TikTok Foryou Page account name ff_progamer2,8/6/2025 14:18,Positive
Sajjad Ali sahab,5,please TikTok me live option on please,8/6/2025 14:18,Positive
MOHAMMED BAHAA,5,❤❤,8/6/2025 14:18,Neutral
John Henry,1,the app lets people post dangerous challenges that can and has resulted in deaths.,8/6/2025 14:17,Negative
Tandir Ahmed,5,this is faltu,8/6/2025 14:15,Neutral
abdullah ahmad,3,Not good ! the size of app is very big !!,8/6/2025 14:14,Negative
Md Burhan,5,Plesse saport my tiktok Account burhanvai100k,8/6/2025 14:14,Neutral
Dev The Dealer,1,"You don't have freedom of speech at all, you will get strikes for almost anything you type, for instance, I typed ""if you believe anything you see on the internet you're an idiot"" and next moment I have a strike. Useless app.",8/6/2025 14:13,Negative
joshua knutson,1,"Ever since the ""shutdown"" in January, this app has been manned by the most far left progressives. Literally have the most racists people making absurd racists videos, but when I call them scumbags I get the strike..? There's pedos making videos to children that are allowed to thrive, there's leftists calling for violence against anyone NOT left and the videos stay up, but call them scumbags and you get a strike and censored...",8/6/2025 14:12,Positive
Ssempagama Deus,4,It's really a great app and I have ever seen app which is creating someone's happiness like tiktok and probably is my stress killer 🙏🏼,8/6/2025 14:10,Positive
Nevaeh Lumsden,5,this is a good app for just watching or anything else and u can shop overall a good app,8/6/2025 14:05,Positive
Md Imran,1,my tik tok id for you plz tik tok tima,8/6/2025 14:05,Neutral
Danii Man,5,Abdii iddosaa,8/6/2025 14:02,Neutral
Ali Usman Bhatti,5,i like itt tik tok,8/6/2025 14:00,Neutral
Abate Nege,5,good,8/6/2025 13:57,Positive
Rehman ali,2,"Assalamu Alaikum, there are 150 views on my TikTok account. Please counter me and get more views on my account. My TikTok username name is RehmanOfficial993",8/6/2025 13:57,Positive
A Google user,5,khanmuradkhan561gmail. com,8/6/2025 13:57,Neutral
ambrose arogo,1,problem with twinkling when opening it....so traumatizing,8/6/2025 13:56,Neutral
Gogo Stars,5,ال App ده جامد,8/6/2025 13:54,Neutral
Sofia,1,This app NEVER opens after updating wth. I'm forever uninstalling and installing. What's wrong with you.,8/6/2025 13:53,Negative
Amir Jutt,5,please viral video for you,8/6/2025 13:53,Neutral
Gabriel Isaac,5,Best engagement app ever,8/6/2025 13:52,Positive
Muhammed Nalain,5,I like it tik tok Alhamdulila,8/6/2025 13:52,Neutral
Marcus Heritier,5,this is verry,8/6/2025 13:51,Neutral
Beth,2,"What is WRONG with the favorites oh my LORD!! All I wanna do it collect a bunch og videos I thought were really good and scroll mindlessly but after 20 videos it just stops and indefinitely loads! Also the way it sends you back to the top if you move a video to another collection, including videos that have been deleted, AND sometimes when youre scrolling through it just straight up skips videos! Let me enjoy my sorting and scrolling through my collections of silly videos!!",8/6/2025 13:46,Positive
Muskim,1,it got me to court don't use this lots of ads and no wifi bad quality and no kind people who u can trust don't use it got,8/6/2025 13:44,Negative
Jennea Kitt,2,the app has a bug and refuses to open. please fix asap. thank you 😊,8/6/2025 13:42,Neutral
Bilal khan,2,please my TikTok account viral,8/6/2025 13:41,Neutral
Sameer Haider,5,good app,8/6/2025 13:38,Positive
Arab-Man TV,5,Very good and fast app. very interesting,8/6/2025 13:37,Positive
Carson Beattie,5,would be 5 stars if I could comment photos,8/6/2025 13:36,Neutral
Shafeeq Ahmed,5,nice,8/6/2025 13:34,Positive
Kurdt Benally,4,I don't know but I know now,8/6/2025 13:34,Neutral
Nasar Nasar,4,عیساخان,8/6/2025 13:33,Neutral
theophilus Ononiwu,4,Tiktok is the best app ever,8/6/2025 13:32,Positive
عمر,5,I'm very very happy 😊😊 with TikTok,8/6/2025 13:32,Positive
Martin Petrík,5,Odstránili mi oba moje účty. Podal som odvolanie -nerozumiem tomu. Ak by mi mali zabanovať účty tak by mi to malo poslať nejaké upozornenie. Nikdy som nikoho neobťažoval na tejto aplikácií. Snažil som sa vytvoriť si nový účet a na oplátku mi to vymaže oba moje a nový nikde. Ďakujem pekne,8/6/2025 13:31,Neutral
Ubaid Ullah,1,after update not opening why ! this is joke or something !👎,8/6/2025 13:29,Neutral
Macha,1,note,8/6/2025 13:28,Neutral
Babar Tanoli,3,please take to count my grow,8/6/2025 13:27,Neutral
Ali Nagra,5,Good,8/6/2025 13:26,Positive
Kanhaiya Prasad,5,good 👍😊😊😊👍😊😊😊👍👍👍😊😊😊👍👍 I have to do the job ☺️☺️ I love you 😙😙 I love 😚😚😘 I love you janu,8/6/2025 13:26,Positive
Fahim Reza,3,TikTok doesn't work probably in low device and consumes many storage and data but some videos are bad also. but this is maybe a good app for time pass.,8/6/2025 13:25,Positive
Reginah Ntini,5,This app makes us to not get bored,8/6/2025 13:24,Negative
Gfs Tfs,5,i am sorry you to my tiktok id an Ban,8/6/2025 13:23,Negative
Junaid Khan,5,Rehan,8/6/2025 13:23,Neutral
Michael Gabriel,1,too many farkin ad's,8/6/2025 13:23,Positive
Ismat Jahan,4,no recommend,8/6/2025 13:23,Neutral
Shujat Ansari,5,My new 🆕 account sports me girl video 📸 thanks 👍,8/6/2025 13:22,Positive
Arun BK,5,🔥🔥🔥🔥🔥🔥🔥,8/6/2025 13:20,Neutral
Samuel Nod,5,gud,8/6/2025 13:17,Neutral
Muhammad Z Khan,5,TikTok is complete entertainment and social.marketing platform,8/6/2025 13:16,Positive
Ranu Shahadat,5,Mxs 〽️ 👙 👙 👙 🍆,8/6/2025 13:15,Neutral
Kaaram Raza,4,make auto update option,8/6/2025 13:15,Neutral
farid Khan,4,look nice,8/6/2025 13:14,Positive
6yfvhjufxchiugg Yghjuufvnk,5,Sirajkhan,8/6/2025 13:13,Neutral
Summer Star,1,Ugh it's just the song menu get it back to the normal one,8/6/2025 13:12,Positive
Ndubuisi,5,I love this application,8/6/2025 13:12,Positive
Ulul Azam,5,Good 😊,8/6/2025 13:11,Positive
Peter Ahiadorme,5,success,8/6/2025 13:10,Positive
usman zubair,5,good,8/6/2025 13:05,Positive
Rick Jot,3,"for last few days within 10 mints all the videos are repeating more then 4 or 5 times same videos I dont like to watch tictok bcoz of this unwanted videos if I already watched one video wht again and again keep it repeating to show me again, tired of this repeat 🙄🙄",8/6/2025 13:04,Negative
Hayden Summerset,2,"pretty good app. But the straight corn that's on there is terrible. The users names ""Check my reposts"" have straight girls throwing it back on their reposts. This needs to stop.",8/6/2025 13:02,Positive
Radman Namdar,5,Nice 👍,8/6/2025 13:00,Positive
Najaf Shezadi,5,super app more information app crivity,8/6/2025 12:59,Positive
A N N A,1,Good but idk what to say,8/6/2025 12:59,Positive
Aaaizo,1,this is not good,8/6/2025 12:58,Negative
Adnan Ali,4,good,8/6/2025 12:56,Positive
Sbusiso Ngwenya,1,i can't go live,8/6/2025 12:56,Positive
Neil Curley,5,Good gamer like,8/6/2025 12:55,Positive
Jhonh Horace,5,ok is not an issue that has know of it and I don't have any other questions or what I should know for the first week of my work year,8/6/2025 12:55,Positive
inayat abro,5,best,8/6/2025 12:55,Positive
Jenieka Samuels,5,nice,8/6/2025 12:54,Positive
Yaseen yaseen sanjla sangla,5,please un banned my account to du to with out volger vomm,8/6/2025 12:52,Neutral
Logaina Amr,1,"In the beginning the program was great and I can't do without it even But then after the problems started to appear in it, like it always get me out of it while I am inside it, and it doesn't open again unless I delete it and download it And then it starts to work very slowly and does that movement again. More than three months And it is still in the same state a day passes after that it stops suddenly until I Delete it and put it down again I hope that this problem will be solved or uninstall",8/6/2025 12:51,Positive
haseeb awan,5,TikTok team my account check not send message and received please check my account 😭 😔 please my,8/6/2025 12:51,Neutral
Young Stona,5,awesome,8/6/2025 12:51,Positive
Md monjorul,5,good tik tok,8/6/2025 12:51,Positive
Saif Manzoor,1,Hello Tik Tok Team I have been working hard on Tik Tok for quite some time and have been posting very good videos. Please check my account and unfreeze thanks Tiktok Username (Sh_mansoori_03),8/6/2025 12:50,Positive
Simo Batmana (BATMAN),1,nah bro,8/6/2025 12:48,Neutral
Kenneth Davis Jr,5,James storm,8/6/2025 12:47,Neutral
Yomife De ssy,1,So annoying this few days 😒😔,8/6/2025 12:47,Negative
Md Sohelbaisun,5,িনসান িনসান,8/6/2025 12:46,Neutral
Taranom Rahimi,1,So MY TEACHER SAID I MUST DOWNLOAD TIKTOK BUT WHEN I WANT SING UP AND ENTER MY BIRTHDAY I ENTER MY BIRTHDAY CORRECT BUT I CANT SING UP ANYWAY I CHNAGE MY BIRTHDAY YEAR BUT TIKTOK DO BAD WITH ME AND I TOLD THIS TO MY TEACHER😡,8/6/2025 12:44,Negative
Gul Nayab,1,Why in my mobile 7 8 days after tiktok not open means I open but not work after I uninstall tiktok then again download then he work,8/6/2025 12:44,Neutral
Naeem Multani,1,Basit Baloch 21,8/6/2025 12:42,Neutral
Samiul Alim,5,it’s vary good app,8/6/2025 12:40,Positive
swabi king,5,Sawabi king,8/6/2025 12:39,Neutral
Ndenzekile Tsopo,5,good work,8/6/2025 12:39,Positive
raja zafeer,1,hi a new account tik Tok,8/6/2025 12:39,Positive
Monir Uzzaman,5,this is a nice app,8/6/2025 12:36,Positive
Suresh kumar,5,Suresh Kumar 1167,8/6/2025 12:34,Neutral
Zaid Butt,5,Helo tiktok team mere account se tiktok Bank ki warning hata de please help me 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,8/6/2025 12:34,Negative
Mohsin Bhatti,5,Mojhmm,8/6/2025 12:32,Neutral
Bikram Ranabhat,5,ok,8/6/2025 12:32,Positive
Saab Aa,5,Tiktok my favorite app and I am very interested tiktok and I am used to tiktok,8/6/2025 12:32,Positive
Mohammed Atheef,5,Super app,8/6/2025 12:31,Positive
Fazal Afridi,1,why not going my video in for you,8/6/2025 12:30,Neutral
Sharon Mokoena,1,Tiktok has become very discriminatory. What you post and what the Americans post is treated very different. They need to do something about the bots they use to detect violations because a lot of those are left up even if you report it.,8/6/2025 12:29,Positive
Mllkshahzad Awan,5,Good luck,8/6/2025 12:28,Positive
Aliraza Aliraza,1,wattoo,8/6/2025 12:27,Neutral
krista robin,4,"well, first I'd want devide numb🫢and whooxmincfnk",8/6/2025 12:27,Positive
Emmanuel Bunuyaminu,3,"I don't know why anytime I enter the app it goes back, it's been good since but not again pls tiktok fix it",8/6/2025 12:27,Positive
Hassan Umar,5,good,8/6/2025 12:26,Positive
md khaled,5,"how can i enable the comment option on my phone, when i do processor rebuilding on my phone, the photo comment option was there automatically and i used it too but the photo comment option was gone within the next hour and I couldn't enable it Again, please help me. my phone : redmi not 10 pro max.",8/6/2025 12:26,Neutral
Inyatullah Inayat,5,tiktok ki id,8/6/2025 12:24,Neutral
Wessen Getachew,5,😪😣😣😣😣😣😣,8/6/2025 12:21,Neutral
Shairf M.Shairf,2,mere video four you per Nahin chal rahe,8/6/2025 12:20,Negative
mariam reda,5,Its very good and good idea to made videos and pictures 😍😍😍😍😍😍,8/6/2025 12:20,Positive
Sudhir Sarker,5,Bangladesh,8/6/2025 12:19,Neutral
Nokwazi Oluhle Xulu,5,post,8/6/2025 12:19,Neutral
Sagor Islam,5,best app ever..!!❤️‍🩹,8/6/2025 12:18,Positive
Asad Khan,5,good,8/6/2025 12:17,Positive
Kyle Nba,5,It's good,8/6/2025 12:14,Positive
BOIKANYORSA Malebo,5,cool to share ur life and content,8/6/2025 12:14,Positive
Ahmad Ullah,5,Good job,8/6/2025 12:13,Positive
Maakalif Amed,5,tiktk,8/6/2025 12:12,Neutral
Zeeshan Haider,5,Good 👍,8/6/2025 12:10,Positive
Sohel Rana,1,BJP's man,8/6/2025 12:10,Neutral
DEBARE Abdul,5,fantastic app,8/6/2025 12:09,Positive
Bahadar Shah,5,aman,8/6/2025 12:09,Neutral
Tyler Knarr,3,"not a bad app but recently when people post a multi picture post, I can't scroll left or right to see the rest of the pictures. it acts as if there is only one Pic and tries to switch tabs ie to TT shop or fyp",8/6/2025 12:08,Positive
Arman Ahon,5,"my tik tok account was banned, please back my tik tok account",8/6/2025 12:07,Neutral
Jamil Baig,5,please dear Tiktok unfreeze my account jameelbaig000,8/6/2025 12:07,Neutral
TNS GAMING,5,The next level app tik tok,8/6/2025 12:06,Neutral
Jay Prakakash Jay Prakash,1,Jayprakaah,8/6/2025 12:03,Neutral
Sami khan,5,Sam I khan,8/6/2025 12:02,Neutral
Yasmin Omarova,5,norm.,8/6/2025 12:01,Neutral
Cusmaan Munye,5,sugs,8/6/2025 11:59,Neutral
king brudo,2,always need to update,8/6/2025 11:58,Neutral
Hlonela Mbengo,5,it's my stress reliever it helps me know more about things I didn't know about,8/6/2025 11:58,Positive
Emmanuel Bosoka,4,Very very good,8/6/2025 11:57,Positive
Yussuph Ahmady,2,Nice 👍,8/6/2025 11:56,Positive
Andy Whitlock,3,"It was a good experience but then on the For you page it started to show me things I had no interest in which were horrific and down right inappropriate. I want to enjoy looking at the content that I like not feeling repulsed by content on the app. So if you want to have fun on TikTok do it, I encourage it but make sure what you see",8/6/2025 11:56,Positive
Deneaka Pennant,5,Good for future posts and I would like to recommend it to a friend,8/6/2025 11:56,Positive
Silken Starlet,1,This app has the worst management of regulating community guidelines I've ever experienced.For months now Ive been trying to get a complaint to them and seeing multiple others complain about it online leaves me frustrated.Others get to comment absolutely vile things on this app but the minute you respond to the comment your comment gets removed and account is flagged for a ban warning for 2 months.Its disgusting that they allow this stuff. It shows exactly what this app stands for.,8/6/2025 11:56,Negative
Malik Aftab,2,nice to have you,8/6/2025 11:55,Positive
M junaid,5,achi ha,8/6/2025 11:55,Neutral
Ahmed,1,لا ادري من هو الغبي الذي وضع معايير المجتمع والتعليق لكم .... تعليقات عادية جدا ويتم حظرها بغباء لا مثيل له وحتى الطعن غير مقبول فعلا الغباء لا حد له عندكم,8/6/2025 11:51,Neutral
Zabura Husen,5,wow,8/6/2025 11:49,Positive
Elene Atoukouvi,3,very interesting and exciting,8/6/2025 11:49,Positive
bethany,5,very good app,8/6/2025 11:49,Positive
MAKOR,1,Thanks thanks,8/6/2025 11:49,Positive
Nosad Ansari,1,good app,8/6/2025 11:43,Positive
Onga Lekau,3,it's ohk but nah.😔,8/6/2025 11:43,Neutral
Jaime Emmanoel Olan,3,"It's okay but I'd realky like a feature where I could adjust the timing of my videos for duets. There always seems to be a delay with the audio, and it would be great if I could fix it.",8/6/2025 11:43,Positive
Ahmad A,3,Good🖤,8/6/2025 11:42,Neutral
Daniel Tohid,2,a really good app but I got banned from multi guest live for no reason of mine someone else said it and app can be glitchey needs some improvement on flaging things on live,8/6/2025 11:39,Positive
Dragos Baciu,3,"Hi, why the fu, when someone sends me a link to open a tiktok, instead of opening the video, it open Google play and I can't open them. pleaee fix this",8/6/2025 11:37,Neutral
Malik Asif,5,nice app but not support me 😔😕,8/6/2025 11:36,Positive
Zafar Ali,5,KING,8/6/2025 11:34,Neutral
Ametystboba,2,"It has a nice algorithm so it keeps you watching but I have a big problem. I keep getting strikes for some things that aren't even offensive; once I wanted to talk about a country named Niger 🇳🇪 which is in Africa and guess what? I've got a strike. My friend got a strike for saying ""dragons"" once and the appeal got rejected. Please do something with it. Is the app racist that it censors the names of African countries or what?",8/6/2025 11:34,Positive
Zaheer Zaheer,2,Hello Tik Tok Team I have been working hard on Tik Tok for quite some time and have been posting very good videos. Please check my account and unfreeze thanks Tiktok Username (......... ) my gmail (..........) _______________________________________________ my gmail (..........) _______________________________________________,8/6/2025 11:34,Positive
Rhiley Glayzer,1,Keeps banning/blocking my account for absolute no reason,8/6/2025 11:34,Positive
chouaib,1,"i use a powerful vpn but tiktok always find my real location, this is a spy application!!!",8/6/2025 11:33,Positive
Ghazni Abbas,5,i m using for my business,8/6/2025 11:33,Neutral
Shoaib Ali,5,very useful app,8/6/2025 11:28,Positive
Faisal Farman,5,gf na na KO GH duty ng gduby hfn TM. x7 c. did8r. f8g 7vhgr,8/6/2025 11:28,Neutral
Md Forhad,1,tik tok comment photo,8/6/2025 11:27,Neutral
Niloy Ahmed,5,like this app,8/6/2025 11:26,Neutral
Dawud Hazell Dawud,5,"TikTok’s a solid app for quick entertainment. The videos are diverse—funny clips, cool edits, and useful hacks—and the algorithm nails what I like to watch. It’s easy to use, and making your own content is simple with the built-in tools. The community keeps things fresh with new trends. Definitely worth checking out if you want something fun to scroll through.",8/6/2025 11:23,Positive
Kathy Farias Gutierrez,1,I'm sorry you guys are getting banned but you guys have me a safe place so you deserve 5 stars ♥️♥️♥️,8/6/2025 11:22,Neutral
Asim Khaan,5,Good,8/6/2025 11:22,Positive
Nkosana Nkosi,2,Has logging lags everytime I update,8/6/2025 11:22,Neutral
Kaden Burgi,5,installing for the shop lol (I'm pure evil),8/6/2025 11:21,Positive
KAMIEL KAMIEL,5,waaw,8/6/2025 11:18,Neutral
Muneeb Ansari Ansari,2,no help banned TikTok,8/6/2025 11:18,Neutral
Md Jd md ejedj,2,🫀💋,8/6/2025 11:17,Neutral
Safdar Awan,5,Good app please tiktok team my unfreeze account account,8/6/2025 11:16,Positive
Muhammad Ayoub,5,This ap is very good. fastly working and entertaining app.so ap instal and enjoy,8/6/2025 11:16,Positive
